Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image
Assoukhour Assawda,Canova,Café,Formel,Rue Saint Saëns,33.595432,-7.5874154,icons/cafe.png
Assoukhour Assawda,Chami Bacha,Restaurant,Formel,Rue Sijlmassa,33.5914595,-7.5915232,icons/restaurant.png
Arrondissement de Sidi Bernoussi,Pharmacie el Mrami,Parapharmacie,Formel,Route de Rabat,33.6238082,-7.4856645,icons/pharmacy.png
Sidi Bernoussi,Pharmacie Feddan el Kheir,Parapharmacie,Formel,Route de Rabat,33.6209482,-7.4895899,icons/pharmacy.png
Arrondissement d'Aïn Sebaâ,Pharmacie Ghouziel,Parapharmacie,Formel,Allée des Mimosas,33.6109571,-7.5297225,icons/pharmacy.png
Assoukhour Assawda,Friend's Space,Restaurant,Formel,Boulevard Emile Zola,33.5963614,-7.592572,icons/restaurant.png
Assoukhour Assawda,Wisley Gardens,Restaurant,Formel,Rue Vimy,33.5962274,-7.5905161,icons/restaurant.png
Arrondissement de Sidi Moumen,Espace Yasmine,Restaurant,Formel,Boulevard Mohamed Al Bakkali,33.5937954,-7.5178684,icons/restaurant.png
Arrondissement de Sidi Moumen,Pharmacie Racha,Parapharmacie,Formel,Route de Chabbou,33.5893928,-7.5262088,icons/pharmacy.png
Arrondissement de Sidi Moumen,Pharmacie Alaa,Parapharmacie,Formel,Boulevard Al Houcine Assoussi,33.590577,-7.5174178,icons/pharmacy.png
Arrondissement de Sidi Moumen,Plus,Supermarché,Formel,Boulevard Mohamed Al Bakkali,33.5930481,-7.5174715,icons/supermarket.png
N/A,Pharmacie Espace Santé صيدلية فضاء الصحة,Parapharmacie,Formel,Ain Harrouda,33.6342132,-7.4545723,icons/pharmacy.png
Ferme Bretonne,Pharmacie Ghafiri,Parapharmacie,Formel,Rue Abou Nouas,33.5607889,-7.6458289,icons/pharmacy.png
Ferme Bretonne,Pharmacie Odyssée صيدلية أوديسي,Parapharmacie,Formel,Rue Tair Al Firdaous,33.5631274,-7.6477303,icons/pharmacy.png
Ferme Bretonne,Cafe Glacier,Café,Formel,Route Al Jamiaa,33.567276,-7.6445413,icons/cafe.png
Hay Mohammadi,Cafe Barcelona,Café,Formel,Boulevard de la Grande Ceinture,33.5831677,-7.5543948,icons/cafe.png
Sidi Moumen,Porta Biella,Restaurant,Formel,Boulevard Mohamed Zefzaf,33.5795879,-7.5127602,icons/restaurant.png
Sidi Moumen,Bice Coffee,Café,Formel,Boulevard Mohamed Zefzaf,33.5786259,-7.5140946,icons/cafe.png
Sidi Moumen,Parapharmacie sans nom,Parapharmacie,Formel,Boulevard Mohamed Zefzaf,33.5754292,-7.5202838,icons/pharmacy.png
Arrondissement de Moulay Rachid,Parapharmacie sans nom,Parapharmacie,Formel,Avenue Abdelkader Sahraoui,33.5678354,-7.5260223,icons/pharmacy.png
N/A,Pharmacie Al Ikram صيدلية الإكرام,Parapharmacie,Formel,Tit Mellil تيط مليل,33.5509759,-7.4774435,icons/pharmacy.png
Arrondissement d'Aïn Sebaâ,Pharmacie Route de Rabat,Parapharmacie,Formel,Route Continentale,33.6021656,-7.5243822,icons/pharmacy.png
Arrondissement d'Aïn Sebaâ,Pharmacie Alhadika,Parapharmacie,Formel,Route de Rabat,33.6036903,-7.533334,icons/pharmacy.png
Arrondissement d'Aïn Sebaâ,Pharmacie Chefchaouni,Parapharmacie,Formel,Boulevard Chefchaouni,33.6139704,-7.5241126,icons/pharmacy.png
